[Object Name]                     ,  [Type]  ,  [Host]        ,  [Login]             ,  [Active]  ,  [Earliest Time] ,  [Calendars]                       ,  [Object Used In]                  ,  [Object Dependencies]             
UC4_RF.AS_WAS.CREATE_DATASOURCE@WINDOWS,  JOBS    ,  <WIN>         ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.CREATE_DATASOURCE:JOBP}{UC4_RF.AS_WAS.RB_DELETE_DATASOURCE_SINGLE_SCOPE:JOBP},                                    
UC4_RF.AS_WAS.CREATE_JAAS         ,  JOBP    ,                ,                      ,  true      ,                  ,                                    ,                                    ,                                    
UC4_RF.AS_WAS.CREATE_JAAS@UNIX    ,  JOBS    ,  <UNIX>        ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.CREATE_JAAS:JOBP}  ,                                    
UC4_RF.AS_WAS.CREATE_JAAS@WINDOWS ,  JOBS    ,  <WIN>         ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.CREATE_JAAS:JOBP}  ,                                    
UC4_RF.AS_WAS.CREATE_SERVER       ,  JOBP    ,                ,                      ,  true      ,                  ,                                    ,                                    ,                                    
UC4_RF.AS_WAS.CREATE_SERVER@UNIX  ,  JOBS    ,  <UNIX>        ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.CREATE_SERVER:JOBP},                                    
UC4_RF.AS_WAS.CREATE_SERVER@WINDOWS,  JOBS    ,  <WIN>         ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.CREATE_SERVER:JOBP},                                    
UC4_RF.AS_WAS.CREATE_SNAPSHOT     ,  JOBP    ,                ,                      ,  true      ,                  ,                                    ,                                    ,                                    
UC4_RF.AS_WAS.CREATE_VHOST        ,  JOBP    ,                ,                      ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.RB_DELETE_VHOST:JOBP},                                    
UC4_RF.AS_WAS.CREATE_VHOST@UNIX   ,  JOBS    ,  <UNIX>        ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.CREATE_VHOST:JOBP} ,                                    
UC4_RF.AS_WAS.CREATE_VHOST@WINDOWS,  JOBS    ,  <WIN>         ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.CREATE_VHOST:JOBP} ,                                    
UC4_RF.AS_WAS.DELETE_DATASOURCE   ,  JOBP    ,                ,                      ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.RB_CREATE_DATASOURCE:JOBP},                                    
UC4_RF.AS_WAS.DELETE_DATASOURCE@UNIX,  JOBS    ,  <UNIX>        ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.DELETE_DATASOURCE:JOBP},                                    
UC4_RF.AS_WAS.DELETE_DATASOURCE@WINDOWS,  JOBS    ,  <WIN>         ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.DELETE_DATASOURCE:JOBP},                                    
UC4_RF.AS_WAS.DELETE_ENV_VAR      ,  JOBP    ,                ,                      ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.RB_SET_ENV_VAR:JOBP},                                    
UC4_RF.AS_WAS.DELETE_ENV_VAR@UNIX ,  JOBS    ,  <UNIX>        ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.DELETE_ENV_VAR:JOBP},                                    
UC4_RF.AS_WAS.DELETE_ENV_VAR@WINDOWS,  JOBS    ,  <WIN>         ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.DELETE_ENV_VAR:JOBP},                                    
UC4_RF.AS_WAS.DELETE_JAAS         ,  JOBP    ,                ,                      ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.RB_CREATE_JAAS:JOBP},                                    
UC4_RF.AS_WAS.DELETE_JAAS@UNIX    ,  JOBS    ,  <UNIX>        ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.DELETE_JAAS:JOBP}  ,                                    
UC4_RF.AS_WAS.DELETE_JAAS@WINDOWS ,  JOBS    ,  <WIN>         ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.DELETE_JAAS:JOBP}  ,                                    
UC4_RF.AS_WAS.DELETE_SERVER       ,  JOBP    ,                ,                      ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.RB_CREATE_SERVER:JOBP},                                    
UC4_RF.AS_WAS.DELETE_SERVER@UNIX  ,  JOBS    ,  <UNIX>        ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.DELETE_SERVER:JOBP},                                    
UC4_RF.AS_WAS.DELETE_SERVER@WINDOWS,  JOBS    ,  <WIN>         ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.DELETE_SERVER:JOBP},                                    
UC4_RF.AS_WAS.DELETE_VHOST        ,  JOBP    ,                ,                      ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.RB_CREATE_VHOST:JOBP},                                    
UC4_RF.AS_WAS.DELETE_VHOST@UNIX   ,  JOBS    ,  <UNIX>        ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.DELETE_VHOST:JOBP} ,                                    
UC4_RF.AS_WAS.DELETE_VHOST@WINDOWS,  JOBS    ,  <WIN>         ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.DELETE_VHOST:JOBP} ,                                    
UC4_RF.AS_WAS.EXECUTE_SCRIPT      ,  JOBP    ,                ,                      ,  true      ,                  ,                                    ,                                    ,                                    
UC4_RF.AS_WAS.EXECUTE_SCRIPT@UNIX ,  JOBS    ,  <UNIX>        ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.EXECUTE_SCRIPT:JOBP},                                    
UC4_RF.AS_WAS.EXECUTE_SCRIPT@WINDOWS,  JOBS    ,  <WIN>         ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.EXECUTE_SCRIPT:JOBP},                                    
UC4_RF.AS_WAS.GET_APPLN_STATUS    ,  JOBP    ,                ,                      ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.START_APPLN:JOBP}{UC4_RF.AS_WAS.STOP_APPLN:JOBP},                                    
UC4_RF.AS_WAS.GET_APPLN_STATUS@UNIX,  JOBS    ,  <UNIX>        ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.GET_APPLN_STATUS:JOBP},                                    
UC4_RF.AS_WAS.GET_APPLN_STATUS@WINDOWS,  JOBS    ,  <WIN>         ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.GET_APPLN_STATUS:JOBP},                                    
UC4_RF.AS_WAS.GET_SERVER_STATUS   ,  JOBP    ,                ,                      ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.START_SERVER:JOBP}{UC4_RF.AS_WAS.STOP_SERVER:JOBP},                                    
UC4_RF.AS_WAS.GET_SERVER_STATUS@UNIX,  JOBS    ,  <UNIX>        ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.GET_SERVER_STATUS:JOBP},                                    
UC4_RF.AS_WAS.GET_SERVER_STATUS@WINDOWS,  JOBS    ,  <WIN>         ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.GET_SERVER_STATUS:JOBP},                                    
UC4_RF.AS_WAS.INSTALL_APPLN       ,  JOBP    ,                ,                      ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.RB_UNINSTALL_APPLN:JOBP}{UC4_RF.AS_WAS.RB_UPDATE_APPLN:JOBP},                                    
UC4_RF.AS_WAS.INSTALL_APPLN@UNIX  ,  JOBS    ,  <UNIX>        ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.INSTALL_APPLN:JOBP},                                    
UC4_RF.AS_WAS.INSTALL_APPLN@WINDOWS,  JOBS    ,  <WIN>         ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.INSTALL_APPLN:JOBP},                                    
UC4_RF.AS_WAS.RB_CONFIGURE_DS_CONNECTION_POOL,  JOBP    ,                ,                      ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.CONFIGURE_DS_CONNECTION_POOL:JOBP},                                    
UC4_RF.AS_WAS.RB_CREATE_DATASOURCE,  JOBP    ,                ,                      ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.CREATE_DATASOURCE:JOBP},                                    
UC4_RF.AS_WAS.RB_CREATE_JAAS      ,  JOBP    ,                ,                      ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.CREATE_JAAS:JOBP}  ,                                    
UC4_RF.AS_WAS.RB_CREATE_SERVER    ,  JOBP    ,                ,                      ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.CREATE_SERVER:JOBP},                                    
UC4_RF.AS_WAS.RB_CREATE_VHOST     ,  JOBP    ,                ,                      ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.CREATE_VHOST:JOBP} ,                                    
UC4_RF.AS_WAS.RB_DELETE_DATASOURCE,  JOBP    ,                ,                      ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.DELETE_DATASOURCE:JOBP},                                    
UC4_RF.AS_WAS.RB_DELETE_DATASOURCE@UNIX,  JOBS    ,  <UNIX>        ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.RB_DELETE_DATASOURCE:JOBP},                                    
UC4_RF.AS_WAS.RB_DELETE_DATASOURCE@WINDOWS,  JOBS    ,  <WIN>         ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.RB_DELETE_DATASOURCE:JOBP},                                    
UC4_RF.AS_WAS.RB_DELETE_DATASOURCE_SINGLE_SCOPE,  JOBP    ,                ,                      ,  true      ,                  ,                                    ,                                    ,                                    
UC4_RF.AS_WAS.RB_DELETE_ENV_VAR   ,  JOBP    ,                ,                      ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.DELETE_ENV_VAR:JOBP},                                    
UC4_RF.AS_WAS.RB_DELETE_SERVER    ,  JOBP    ,                ,                      ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.DELETE_SERVER:JOBP},                                    
UC4_RF.AS_WAS.RB_DELETE_SERVER@UNIX,  JOBS    ,  <UNIX>        ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.RB_DELETE_SERVER:JOBP},                                    
UC4_RF.AS_WAS.RB_DELETE_SERVER@WINDOWS,  JOBS    ,  <WIN>         ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.RB_DELETE_SERVER:JOBP},                                    
UC4_RF.AS_WAS.RB_DELETE_VHOST     ,  JOBP    ,                ,                      ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.DELETE_VHOST:JOBP} ,                                    
UC4_RF.AS_WAS.RB_INSTALL_APPLN    ,  JOBP    ,                ,                      ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.INSTALL_APPLN:JOBP},                                    
UC4_RF.AS_WAS.RB_PREPARE_CONFIGURE_DS_CONNECTION_POOL,  JOBP    ,                ,                      ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.CONFIGURE_DS_CONNECTION_POOL:JOBP},                                    
UC4_RF.AS_WAS.RB_PREPARE_CONFIGURE_DS_CONNECTION_POOL@UNIX,  JOBS    ,  <UNIX>        ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.RB_PREPARE_CONFIGURE_DS_CONNECTION_POOL:JOBP},                                    
UC4_RF.AS_WAS.RB_PREPARE_CONFIGURE_DS_CONNECTION_POOL@WINDOWS,  JOBS    ,  <WIN>         ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.RB_PREPARE_CONFIGURE_DS_CONNECTION_POOL:JOBP},                                    
UC4_RF.AS_WAS.RB_PREPARE_DELETE_DATASOURCE,  JOBP    ,                ,                      ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.DELETE_DATASOURCE:JOBP},                                    
UC4_RF.AS_WAS.RB_PREPARE_DELETE_DATASOURCE@UNIX,  JOBS    ,  <UNIX>        ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.RB_PREPARE_DELETE_DATASOURCE:JOBP},                                    
UC4_RF.AS_WAS.RB_PREPARE_DELETE_DATASOURCE@WINDOWS,  JOBS    ,  <WIN>         ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.RB_PREPARE_DELETE_DATASOURCE:JOBP},                                    
UC4_RF.AS_WAS.RB_PREPARE_DELETE_SERVER,  JOBP    ,                ,                      ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.DELETE_SERVER:JOBP},                                    
UC4_RF.AS_WAS.RB_PREPARE_DELETE_SERVER@UNIX,  JOBS    ,  <UNIX>        ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.RB_PREPARE_DELETE_SERVER:JOBP},                                    
UC4_RF.AS_WAS.RB_PREPARE_DELETE_SERVER@WINDOWS,  JOBS    ,  <WIN>         ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.RB_PREPARE_DELETE_SERVER:JOBP},                                    
UC4_RF.AS_WAS.RB_PREPARE_INSTALL_APPLN,  JOBP    ,                ,                      ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.INSTALL_APPLN:JOBP},                                    
UC4_RF.AS_WAS.RB_PREPARE_INSTALL_APPLN@UNIX,  JOBS    ,  <UNIX>        ,  UC4_RL.LOGIN.ALL    ,  true      ,                  ,                                    ,  {UC4_RF.AS_WAS.RB_PREPARE_INSTALL_APPLN:JOBP},                                    
